"Employee Id","Employee Name",Supervisor(s),"Regular Time",Overtime,"Double Time","Total Leave Time","Total Time",Status
1061,"Odis Adalwin ","Jacqueline Wagner","184h 00m","00h 00m","00h 00m","00h 00m","184h 00m","Not Submitted"
1104,"Charlie Carter ","Khloe Jayden","184h 00m","00h 00m","00h 00m","00h 00m","184h 00m","Not Submitted"
1110,"Paul Collings ","Jackson Smith","184h 00m","00h 00m","00h 00m","00h 00m","184h 00m","Not Submitted"
1059,"Amy Elliot ","Odis Adalwin","184h 00m","00h 00m","00h 00m","00h 00m","184h 00m","Not Submitted"
1050,"Jenny Fisher ","Khloe Jayden","184h 00m","00h 00m","00h 00m","00h 00m","184h 00m","Not Submitted"
1060,"Charlotte Logan ","Michael Nelson","184h 00m","00h 00m","00h 00m","00h 00m","184h 00m","Not Submitted"
1106,"Gavin Louis ","Carla Donovan","184h 00m","00h 00m","00h 00m","00h 00m","184h 00m","Not Submitted"
1022,"Okta Melbourne ","Michael Nelson","184h 00m","00h 00m","00h 00m","00h 00m","184h 00m","Not Submitted"
1105,"Theo Simon ","Khloe Jayden","184h 00m","00h 00m","00h 00m","00h 00m","184h 00m","Not Submitted"
1112,"Jackson Smith ","Gavin Louis","184h 00m","00h 00m","00h 00m","00h 00m","184h 00m","Not Submitted"
